pc_time_iso,pc_time_unix,sender_ip,sender_port,source_id,now_ms,tx_counter,rx_ok_total,crc_bad_total,seq_lost_total,duplicate_or_old_total,valid_count,deadman_count,move_en_count,last_seq,last_gap_ms,max_gap_ms,avg_gap_ms,loss_permille,loss_percent,valid_ratio_percent,session_id,session_rx_ok,session_lost,session_max_gap_ms,age_ms,last_unity_t_ms,source_seen,fresh_300ms,in_session,last_valid,last_deadman,last_move_en,last_port_id,last_error_code
2026-07-02T00:23:12.897+02:00,1782944592.897798,192.168.0.37,5005,1,205000,41,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-07-02T00:23:17.820+02:00,1782944597.820255,192.168.0.37,5005,1,210000,42,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-07-02T00:23:22.830+02:00,1782944602.830618,192.168.0.37,5005,1,215000,43,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-07-02T00:23:27.848+02:00,1782944607.848888,192.168.0.37,5005,1,220000,44,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-07-02T00:23:47.817+02:00,1782944627.817232,192.168.0.37,5005,1,240000,48,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-07-02T00:23:52.835+02:00,1782944632.835114,192.168.0.37,5005,1,245000,49,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-07-02T00:24:02.869+02:00,1782944642.869750,192.168.0.37,5005,1,255000,51,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-07-02T00:24:07.887+02:00,1782944647.887209,192.168.0.37,5005,1,260000,52,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-07-02T00:24:22.838+02:00,1782944662.838522,192.168.0.37,5005,1,275000,55,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-07-02T00:24:32.873+02:00,1782944672.873933,192.168.0.37,5005,1,285000,57,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-07-02T00:24:37.891+02:00,1782944677.891315,192.168.0.37,5005,1,290000,58,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-07-02T00:24:42.806+02:00,1782944682.806281,192.168.0.37,5005,1,295000,59,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-07-02T00:24:52.841+02:00,1782944692.841709,192.168.0.37,5005,1,305000,61,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-07-02T00:24:58.085+02:00,1782944698.085999,192.168.0.37,5005,1,310000,62,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-07-02T00:25:02.850+02:00,1782944702.850324,192.168.0.37,5005,1,315000,63,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-07-02T00:25:07.868+02:00,1782944707.868772,192.168.0.37,5005,1,320000,64,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-07-02T00:25:12.886+02:00,1782944712.886163,192.168.0.37,5005,1,325000,65,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-07-02T00:25:17.906+02:00,1782944717.906046,192.168.0.37,5005,1,330000,66,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-07-02T00:25:27.838+02:00,1782944727.838579,192.168.0.37,5005,1,340000,68,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-07-02T00:25:42.889+02:00,1782944742.889544,192.168.0.37,5005,1,355000,71,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-07-02T00:25:52.824+02:00,1782944752.824305,192.168.0.37,5005,1,365000,73,12,0,0,6,6,0,0,836,5,1025,304,0,0.0,55,2,5,0,1025,565,1391367,1,0,1,1,0,0,1,7
2026-07-02T00:26:02.857+02:00,1782944762.857484,192.168.0.37,5005,1,375000,75,30,0,0,15,15,0,0,846,5,1025,401,0,0.0,52,3,1,0,5,325,1401547,1,0,1,1,0,0,1,7
2026-07-02T00:26:22.828+02:00,1782944782.828784,192.168.0.37,5005,1,395000,79,68,0,1,35,33,0,0,865,5,1935,578,15,1.5,49,3,19,1,1935,975,1420957,1,0,1,1,0,0,1,7
2026-07-02T00:26:27.849+02:00,1782944787.849242,192.168.0.37,5005,1,400000,80,76,0,2,39,37,0,0,870,5,1935,596,26,2.6,49,3,23,2,1935,845,1426043,1,0,1,1,0,0,1,7
2026-07-02T00:26:37.880+02:00,1782944797.880232,192.168.0.37,5005,1,410000,82,96,0,2,49,47,0,0,880,5,1935,480,21,2.1,49,3,33,2,1935,715,1436186,1,0,1,1,0,0,1,7
2026-07-02T00:26:42.897+02:00,1782944802.897756,192.168.0.37,5005,1,415000,83,104,0,2,53,51,0,0,885,5,1935,445,19,1.9,50,4,3,0,1025,595,1441253,1,0,1,1,0,0,1,7
2026-07-02T00:26:47.812+02:00,1782944807.812279,192.168.0.37,5005,1,420000,84,110,0,3,56,54,0,0,889,5,1945,565,27,2.7,50,4,6,1,1945,1595,1445323,1,0,1,1,0,0,1,7
